Borough,Sub-Borough Area-PUMA,GeoID-PUMA,censusPUMA,RentBurden_5yearPctChg,RentorIncome_5yearPctChg,HomeOwnershipRate_5yearChange,HousingUnits_5yearChange,HomeOwnerIncome_5yearChange,population5yearChange,povertyRate5yearchange,pctAsian5yearChange,pctBlack5yearChange,pctHisp5yearChange,pctWhite5yearChange,pctGraduation
Bronx,Mott Haven/Hunts Point,1,3710,-0.055,-0.009,0.329,0.078,-0.076,0.006,-0.122,0.885,0.007,-0.017,0.249,0.595
Bronx,Morrisania/Belmont,2,3705,0.034,0.044,-0.073,0.079,0.378,0.04,-0.101,1.084,0.01,0.003,-0.267,0.642
Bronx,Highbridge/South Concourse,3,3708,0.085,0.177,-0.265,0.012,0.201,-0.011,-0.139,-0.605,-0.054,0.015,1.098,0.653
Bronx,University Heights/Fordham,4,3707,-0.057,0.231,-0.244,0.038,-0.322,0.027,-0.155,-0.508,-0.096,0.065,-0.026,0.657
Bronx,Kingsbridge Heights/Mosholu,5,3706,-0.057,0.109,0.025,0.076,0.017,0.051,-0.212,-0.381,0.116,0.002,-0.19,0.686
Bronx,Riverdale/Kingsbridge,6,3701,-0.05,-0.216,0.061,0.012,0.185,0.043,0.216,-0.082,0.247,0.125,-0.189,0.822
Bronx,Soundview/Parkchester,7,3709,0.005,0.182,-0.039,0,0.064,-0.043,-0.184,0.536,-0.113,-0.002,-0.013,0.712
Bronx,Throgs Neck/Co-op City,8,3703,0.022,0.019,0.034,0.005,-0.142,-0.029,0.337,-0.31,0.106,0.139,-0.212,0.837
Bronx,Pelham Parkway,9,3704,-0.066,0.113,0.145,0.027,0.27,0.03,-0.126,0.192,0.114,-0.037,-0.094,0.768
Bronx,Williamsbridge/Baychester,10,3702,-0.169,-0.125,-0.077,-0.013,0.096,0.003,-0.08,0.019,-0.078,0.276,-0.113,0.8
Brooklyn,Williamsburg/Greenpoint,11,4001,-0.117,0.394,-0.041,0.073,0.755,0.04,-0.088,-0.226,0.142,-0.147,0.058,0.837
Brooklyn,Brooklyn Heights/Fort Greene,12,4004,0.049,0.344,-0.027,0.107,0.491,0.114,-0.151,0.022,-0.24,-0.069,0.136,0.895
Brooklyn,Bedford Stuyvesant,13,4003,-0.101,0.481,0.145,0.087,-0.199,0.08,-0.277,0.585,-0.176,-0.032,0.354,0.807
Brooklyn,Bushwick,14,4002,0.003,0.114,-0.031,0.025,0.356,-0.169,-0.041,-0.168,-0.105,-0.153,0.735,0.693
Brooklyn,East New York/Starrett City,15,4008,0.092,-0.008,0.234,0.118,0.102,0.082,-0.26,-0.238,-0.028,0.103,-0.07,0.786
Brooklyn,Park Slope/Carroll Gardens,16,4005,0.016,0.071,0.056,0.005,0.225,0,0.132,0.49,0.549,-0.242,-0.043,0.915
Brooklyn,Sunset Park,17,4012,-0.074,0.414,0.105,-0.065,0.094,-0.14,-0.442,-0.104,-0.247,-0.11,0.416,0.598
Brooklyn,North Crown Heights/Prospect Heights,18,4006,0.024,0.431,0.114,0.06,0.419,0.073,-0.305,0.042,-0.028,-0.096,0.134,0.838
Brooklyn,South Crown Heights,19,4011,-0.067,0.299,-0.129,0.105,-0.033,0.073,-0.237,0.179,-0.117,0.054,0.43,0.86
Brooklyn,Bay Ridge,20,4013,0.087,0.122,0.17,-0.01,0.08,-0.019,0.024,0.104,0.322,0.323,-0.157,0.811
Brooklyn,Bensonhurst,21,4017,-0.053,-0.03,0.016,0.002,0.116,0.011,0.238,0.137,-0.195,0.304,-0.227,0.737
Brooklyn,Borough Park,22,4014,0.181,0.273,0.133,-0.058,0.026,-0.14,-0.187,-0.058,-0.108,-0.229,0.057,0.769
Brooklyn,Coney Island,23,4018,0.038,0.312,-0.063,0.025,0.027,0.067,0.119,-0.048,-0.236,0.349,-0.034,0.818
Brooklyn,Flatbush,24,4015,-0.109,0.442,0.06,0.028,0.389,-0.015,-0.377,0.061,-0.004,-0.077,-0.03,0.826
Brooklyn,Sheepshead Bay/Gravesend,25,4016,-0.046,0.238,-0.089,0.04,0.196,0.012,-0.088,0.113,0.589,0.12,-0.112,0.847
Brooklyn,Brownsville/Ocean Hill,26,4007,0.01,0.171,0.113,0.168,0.092,-0.047,-0.212,-0.173,-0.087,0.349,0.086,0.747
Brooklyn,East Flatbush,27,4010,-0.041,0.263,0.03,0.12,0.285,0.025,-0.443,0.245,-0.036,0.171,0.983,0.857
Brooklyn,Flatlands/Canarsie,28,4009,-0.093,0.041,0.034,0.023,0.054,-0.034,-0.183,0.352,-0.048,0.264,-0.047,0.876
Manhattan,Greenwich Village/Financial District,29,3810,0.007,0.209,0.122,0.004,-0.023,-0.049,-0.15,-0.155,-0.189,0.021,0.032,0.96
Manhattan,Lower East Side/Chinatown,30,3809,0.052,0.165,-0.104,0.067,0.369,-0.051,0.002,-0.149,0.445,-0.061,0.174,0.744
Manhattan,Chelsea/Clinton/Midtown,31,3807,-0.041,-0.069,0.062,0.081,-0.136,0.126,-0.189,0.198,-0.484,0.065,-0.012,0.943
Manhattan,Stuyvesant Town/Turtle Bay,32,3808,-0.086,0.098,0.085,-0.01,0.136,-0.024,-0.158,0.251,0.252,-0.172,-0.018,0.968
Manhattan,Upper West Side,33,3806,-0.209,0.139,0.178,-0.008,0.066,0.063,-0.227,0.029,-0.359,0.166,-0.004,0.943
Manhattan,Upper East Side,34,3805,-0.08,0.144,-0.003,0.043,0.201,-0.06,-0.128,0.416,-0.127,-0.031,-0.036,0.974
Manhattan,Morningside Heights/Hamilton Heights,35,3802,-0.141,0.174,0.146,0.085,0.211,0.119,-0.17,0.445,0.187,-0.033,-0.148,0.794
